osm_id,osm_type,name,amenity,emergency,social_facility,emergency_social_facility,phone,website,operator,lat,lon,facility_type
7213470815,node,Shree Hospital,hospital,,,,,https://www.oncosurgeonpune.in/,,18.5533588,73.8989792,Hospital
7213492164,node,Neney's Hospital,hospital,,,,,,,18.5536181,73.899622,Hospital
7225067114,node,SDH Manchar,hospital,,,,,,,19.0004996,73.9432995,Hospital
7225067173,node,"Rural Hospital, Narayangaon",hospital,,,,,,,19.121284,73.972737,Hospital
7225067220,node,Government Hospital Dimbhe,hospital,,,,,,,19.0837227,73.7451693,Hospital
7225067237,node,Rural Hospital Junnar,hospital,,,,,,,19.202773,73.877824,Hospital
7225067241,node,Rural Hospital Godegaon,hospital,,,,,,,19.0430101,73.8391504,Hospital
7226627567,node,PMC ARMED FORCE MEDICAL COLLEGE(AFMC),hospital,,,,,,,18.503916,73.890117,Hospital
7226627607,node,Rural Hospital Velhe,hospital,,,,,,,18.298535,73.638354,Hospital
7226627619,node,Bharati Vidyapeeth Dental College and Hospital,hospital,,,,,,,18.457239,73.855026,Hospital
7226627621,node,Rural Hospital Jejuri,hospital,,,,,,,18.2755356,74.163285,Hospital
7226627639,node,"Rural Hospital, Supa",hospital,,,,,,,18.3325127,74.3736146,Hospital
7226627646,node,Arvind Ganpat Bartakke Dawakhana Atulnagar,hospital,,,,,,,18.48356,73.792632,Hospital
7226627660,node,Murlidhar Pandurang Laigude Hospital,hospital,,,,,,,18.4623918,73.804957,Hospital
7226627670,node,"Rural Hospital, Saswad",hospital,,,,,,,18.3471592,74.0307032,Hospital
7226627678,node,"Government Hospital, Lasurne",hospital,,,,,,,18.088994,74.7585812,Hospital
7226627681,node,"Rural Hospital, Nimgaon Ketki",hospital,,,,,,,18.08329,74.909647,Hospital
7226627696,node,SDH Daund,hospital,,,,,,,18.4723803,74.5720001,Hospital
7226627711,node,"Government Hospital, Kurkumbh",hospital,,,,,,,18.3925773,74.5391703,Hospital
7226627720,node,Late Anandibai Narhar Gadgil Hospital,hospital,,,,,,Public,18.5024088,73.8386813,Hospital
7226627729,node,"Rural Hospital, Rui",hospital,,,,,,,18.18129,74.611755,Hospital
7226727301,node,"Rural Hospital, Shirur",hospital,,,,,,,18.825503,74.373057,Hospital
7226727307,node,"Rural Hospital, Nhavare",hospital,,,,,,,18.661899,74.3718586,Hospital
7226727325,node,PCMC-Yashwantrao Chavan Memorial Hospital,hospital,,,,,,,18.6218172,73.8211251,Hospital
7226727329,node,Takawe Rural hospital,hospital,,,,,,,18.8053663,73.6047018,Hospital
